temporada,clube,rodada,pts_acum,ppg_acum,rebaixado
2011,flamengo,25,38.0000,1.5200,0
2011,fluminense,25,40.0000,1.6000,0
2011,gremio,25,33.0000,1.3200,0
2011,internacional,25,37.0000,1.4800,0
2011,palmeiras,25,38.0000,1.5200,0
2011,santos,25,38.0000,1.5200,0
2011,sao-paulo,25,45.0000,1.8000,0
2011,vasco,25,46.0000,1.8400,0
2011,america-mg,30,24.0000,0.8000,1
2011,athletico-pr,30,28.0000,0.9333,1
2011,atletico-go,30,42.0000,1.4000,0
2011,atletico-mg,30,30.0000,1.0000,0
2011,avai,30,26.0000,0.8667,1
2011,bahia,30,36.0000,1.2000,0
2011,botafogo-rj,30,52.0000,1.7333,0
2011,ceara,30,32.0000,1.0667,1
2011,corinthians,30,54.0000,1.8000,0
2011,coritiba,30,41.0000,1.3667,0
2011,cruzeiro,30,31.0000,1.0333,0
2011,figueirense,30,44.0000,1.4667,0
2011,flamengo,30,51.0000,1.7000,0
2011,fluminense,30,50.0000,1.6667,0
2011,gremio,30,42.0000,1.4000,0
2011,internacional,30,47.0000,1.5667,0
2011,palmeiras,30,41.0000,1.3667,0
2011,santos,30,41.0000,1.3667,0
2011,sao-paulo,30,48.0000,1.6000,0
2011,vasco,30,54.0000,1.8000,0
2011,america-mg,35,34.0000,0.9714,1
2011,athletico-pr,35,37.0000,1.0571,1
2011,atletico-go,35,43.0000,1.2286,0
2011,atletico-mg,35,42.0000,1.2000,0
2011,avai,35,30.0000,0.8571,1
2011,bahia,35,42.0000,1.2000,0
2011,botafogo-rj,35,55.0000,1.5714,0
2011,ceara,35,35.0000,1.0000,1
2011,corinthians,35,64.0000,1.8286,0
2011,coritiba,35,51.0000,1.4571,0
2011,cruzeiro,35,38.0000,1.0857,0
2011,figueirense,35,57.0000,1.6286,0
2011,flamengo,35,56.0000,1.6000,0
2011,fluminense,35,59.0000,1.6857,0
2011,gremio,35,47.0000,1.3429,0
2011,internacional,35,54.0000,1.5429,0
2011,palmeiras,35,43.0000,1.2286,0
2011,santos,35,52.0000,1.4857,0
2011,sao-paulo,35,53.0000,1.5143,0
2011,vasco,35,62.0000,1.7714,0
2012,atletico-go,10,5.0000,0.5000,1
2012,atletico-mg,10,25.0000,2.5000,0
2012,bahia,10,7.0000,0.7000,0
2012,botafogo-rj,10,17.0000,1.7000,0
2012,corinthians,10,11.0000,1.1000,0
2012,coritiba,10,8.0000,0.8000,0
2012,cruzeiro,10,17.0000,1.7000,0
2012,figueirense,10,8.0000,0.8000,1
2012,flamengo,10,15.0000,1.5000,0
2012,fluminense,10,22.0000,2.2000,0
2012,gremio,10,18.0000,1.8000,0
2012,internacional,10,16.0000,1.6000,0
2012,nautico,10,13.0000,1.3000,0
2012,palmeiras,10,7.0000,0.7000,1
2012,ponte-preta,10,15.0000,1.5000,0
2012,portuguesa,10,8.0000,0.8000,0
2012,santos,10,10.0000,1.0000,0
2012,sao-paulo,10,16.0000,1.6000,0
2012,sport,10,12.0000,1.2000,1
2012,vasco,10,23.0000,2.3000,0
2012,atletico-go,15,10.0000,0.6667,1
2012,atletico-mg,15,35.0000,2.3333,0
2012,bahia,15,13.0000,0.8667,0
2012,botafogo-rj,15,23.0000,1.5333,0
2012,corinthians,15,18.0000,1.2000,0
2012,coritiba,15,15.0000,1.0000,0
2012,cruzeiro,15,23.0000,1.5333,0
2012,figueirense,15,8.0000,0.5333,1
2012,flamengo,15,22.0000,1.4667,0
2012,fluminense,15,32.0000,2.1333,0
2012,gremio,15,28.0000,1.8667,0
2012,internacional,15,27.0000,1.8000,0
2012,nautico,15,17.0000,1.1333,0
2012,palmeiras,15,13.0000,0.8667,1
2012,ponte-preta,15,20.0000,1.3333,0
2012,portuguesa,15,17.0000,1.1333,0
2012,santos,15,16.0000,1.0667,0
2012,sao-paulo,15,25.0000,1.6667,0
2012,sport,15,14.0000,0.9333,1
2012,vasco,15,34.0000,2.2667,0
2012,atletico-go,20,16.0000,0.8000,1
2012,atletico-mg,20,44.0000,2.2000,0
2012,bahia,20,20.0000,1.0000,0
2012,botafogo-rj,20,28.0000,1.4000,0
2012,corinthians,20,25.0000,1.2500,0
2012,coritiba,20,22.0000,1.1000,0
2012,cruzeiro,20,31.0000,1.5500,0
2012,figueirense,20,14.0000,0.7000,1
2012,flamengo,20,30.0000,1.5000,0
2012,fluminense,20,43.0000,2.1500,0
2012,gremio,20,40.0000,2.0000,0
2012,internacional,20,31.0000,1.5500,0
2012,nautico,20,27.0000,1.3500,0
2012,palmeiras,20,16.0000,0.8000,1
2012,ponte-preta,20,24.0000,1.2000,0
2012,portuguesa,20,25.0000,1.2500,0
2012,santos,20,26.0000,1.3000,0
2012,sao-paulo,20,34.0000,1.7000,0
2012,sport,20,16.0000,0.8000,1
2012,vasco,20,35.0000,1.7500,0
2012,atletico-go,25,20.0000,0.8000,1
2012,atletico-mg,25,51.0000,2.0400,0
2012,bahia,25,31.0000,1.2400,0
2012,botafogo-rj,25,39.0000,1.5600,0
2012,corinthians,25,35.0000,1.4000,0
2012,coritiba,25,28.0000,1.1200,0
2012,cruzeiro,25,35.0000,1.4000,0
2012,figueirense,25,22.0000,0.8800,1
2012,flamengo,25,31.0000,1.2400,0
2012,fluminense,25,53.0000,2.1200,0
2012,gremio,25,48.0000,1.9200,0
2012,internacional,25,37.0000,1.4800,0
2012,nautico,25,31.0000,1.2400,0
2012,palmeiras,25,20.0000,0.8000,1
2012,ponte-preta,25,33.0000,1.3200,0
2012,portuguesa,25,29.0000,1.1600,0
2012,santos,25,33.0000,1.3200,0
2012,sao-paulo,25,39.0000,1.5600,0
2012,sport,25,24.0000,0.9600,1
2012,vasco,25,43.0000,1.7200,0
2012,atletico-go,30,23.0000,0.7667,1
2012,atletico-mg,30,59.0000,1.9667,0
2012,bahia,30,35.0000,1.1667,0
2012,botafogo-rj,30,41.0000,1.3667,0
2012,corinthians,30,43.0000,1.4333,0
2012,coritiba,30,38.0000,1.2667,0
2012,cruzeiro,30,40.0000,1.3333,0
2012,figueirense,30,25.0000,0.8333,1
2012,flamengo,30,36.0000,1.2000,0
2012,fluminense,30,68.0000,2.2667,0
2012,gremio,30,57.0000,1.9000,0
2012,internacional,30,45.0000,1.5000,0
2012,nautico,30,40.0000,1.3333,0
2012,palmeiras,30,26.0000,0.8667,1
2012,ponte-preta,30,37.0000,1.2333,0
2012,portuguesa,30,37.0000,1.2333,0
2012,santos,30,41.0000,1.3667,0
2012,sao-paulo,30,52.0000,1.7333,0
2012,sport,30,27.0000,0.9000,1
2012,vasco,30,50.0000,1.6667,0
2012,atletico-go,35,26.0000,0.7429,1
2012,atletico-mg,35,65.0000,1.8571,0
2012,bahia,35,40.0000,1.1429,0
2012,botafogo-rj,35,54.0000,1.5429,0
2012,corinthians,35,53.0000,1.5143,0
2012,coritiba,35,45.0000,1.2857,0
2012,cruzeiro,35,46.0000,1.3143,0
2012,figueirense,35,30.0000,0.8571,1
2012,flamengo,35,47.0000,1.3429,0
2012,fluminense,35,76.0000,2.1714,0
2012,gremio,35,66.0000,1.8857,0
2012,internacional,35,51.0000,1.4571,0
2012,nautico,35,45.0000,1.2857,0
2012,palmeiras,35,33.0000,0.9429,1
2012,ponte-preta,35,46.0000,1.3143,0
2012,portuguesa,35,40.0000,1.1429,0
2012,santos,35,46.0000,1.3143,0
2012,sao-paulo,35,59.0000,1.6857,0
2012,sport,35,37.0000,1.0571,1
2012,vasco,35,51.0000,1.4571,0
2013,athletico-pr,10,13.0000,1.3000,0
2013,atletico-mg,10,13.0000,1.3000,0
2013,bahia,10,16.0000,1.6000,0
2013,botafogo-rj,10,20.0000,2.0000,0
2013,corinthians,10,14.0000,1.4000,0
2013,coritiba,10,20.0000,2.0000,0
2013,criciuma,10,11.0000,1.1000,0
2013,cruzeiro,10,18.0000,1.8000,0
2013,flamengo,10,10.0000,1.0000,0
2013,fluminense,10,12.0000,1.2000,1
2013,goias,10,13.0000,1.3000,0
2013,gremio,10,15.0000,1.5000,0
2013,internacional,10,15.0000,1.5000,0
2013,nautico,10,7.0000,0.7000,1
2013,ponte-preta,10,10.0000,1.0000,1
2013,portuguesa,10,8.0000,0.8000,0
2013,santos,10,15.0000,1.5000,0
2013,sao-paulo,10,12.0000,1.2000,0
2013,vasco,10,14.0000,1.4000,1
2013,vitoria,10,15.0000,1.5000,0
2013,athletico-pr,15,24.0000,1.6000,0
2013,atletico-mg,15,19.0000,1.2667,0
2013,bahia,15,20.0000,1.3333,0
2013,botafogo-rj,15,29.0000,1.9333,0
2013,corinthians,15,25.0000,1.6667,0
2013,coritiba,15,24.0000,1.6000,0
2013,criciuma,15,14.0000,0.9333,0
2013,cruzeiro,15,28.0000,1.8667,0
2013,flamengo,15,19.0000,1.2667,0
2013,fluminense,15,18.0000,1.2000,1
2013,goias,15,21.0000,1.4000,0
2013,gremio,15,25.0000,1.6667,0
2013,internacional,15,22.0000,1.4667,0
2013,nautico,15,9.0000,0.6000,1
2013,ponte-preta,15,15.0000,1.0000,1
2013,portuguesa,15,13.0000,0.8667,0
2013,santos,15,20.0000,1.3333,0
2013,sao-paulo,15,14.0000,0.9333,0
2013,vasco,15,19.0000,1.2667,1
2013,vitoria,15,22.0000,1.4667,0
2013,athletico-pr,20,35.0000,1.7500,0
2013,atletico-mg,20,28.0000,1.4000,0
2013,bahia,20,24.0000,1.2000,0
2013,botafogo-rj,20,39.0000,1.9500,0
2013,corinthians,20,30.0000,1.5000,0
2013,coritiba,20,28.0000,1.4000,0
2013,criciuma,20,24.0000,1.2000,0
2013,cruzeiro,20,43.0000,2.1500,0
2013,flamengo,20,25.0000,1.2500,0
2013,fluminense,20,23.0000,1.1500,1
2013,goias,20,26.0000,1.3000,0
2013,gremio,20,37.0000,1.8500,0
2013,internacional,20,31.0000,1.5500,0
2013,nautico,20,10.0000,0.5000,1
2013,ponte-preta,20,15.0000,0.7500,1
2013,portuguesa,20,22.0000,1.1000,0
2013,santos,20,29.0000,1.4500,0
2013,sao-paulo,20,21.0000,1.0500,0
2013,vasco,20,24.0000,1.2000,1
2013,vitoria,20,24.0000,1.2000,0
2013,athletico-pr,25,41.0000,1.6400,0
2013,atletico-mg,25,38.0000,1.5200,0
2013,bahia,25,32.0000,1.2800,0
2013,botafogo-rj,25,43.0000,1.7200,0
2013,corinthians,25,34.0000,1.3600,0
2013,coritiba,25,31.0000,1.2400,0
2013,criciuma,25,25.0000,1.0000,0
2013,cruzeiro,25,56.0000,2.2400,0
2013,flamengo,25,33.0000,1.3200,0
2013,fluminense,25,34.0000,1.3600,1
2013,goias,25,33.0000,1.3200,0
2013,gremio,25,45.0000,1.8000,0
2013,internacional,25,34.0000,1.3600,0
2013,nautico,25,17.0000,0.6800,1
2013,ponte-preta,25,22.0000,0.8800,1
2013,portuguesa,25,31.0000,1.2400,0
2013,santos,25,36.0000,1.4400,0
2013,sao-paulo,25,27.0000,1.0800,0
2013,vasco,25,28.0000,1.1200,1
2013,vitoria,25,37.0000,1.4800,0
2013,athletico-pr,30,51.0000,1.7000,0
2013,atletico-mg,30,45.0000,1.5000,0
2013,bahia,30,36.0000,1.2000,0
2013,botafogo-rj,30,50.0000,1.6667,0
2013,corinthians,30,40.0000,1.3333,0
2013,coritiba,30,37.0000,1.2333,0
2013,criciuma,30,32.0000,1.0667,0
2013,cruzeiro,30,62.0000,2.0667,0
2013,flamengo,30,40.0000,1.3333,0
2013,fluminense,30,36.0000,1.2000,1
2013,goias,30,46.0000,1.5333,0
2013,gremio,30,53.0000,1.7667,0
2013,internacional,30,42.0000,1.4000,0
2013,nautico,30,17.0000,0.5667,1
2013,ponte-preta,30,30.0000,1.0000,1
2013,portuguesa,30,38.0000,1.2667,0
2013,santos,30,43.0000,1.4333,0
2013,sao-paulo,30,40.0000,1.3333,0
2013,vasco,30,33.0000,1.1000,1
2013,vitoria,30,44.0000,1.4667,0
2013,athletico-pr,35,58.0000,1.6571,0
2013,atletico-mg,35,52.0000,1.4857,0
2013,bahia,35,42.0000,1.2000,0
2013,botafogo-rj,35,57.0000,1.6286,0
2013,corinthians,35,49.0000,1.4000,0
2013,coritiba,35,41.0000,1.1714,0
2013,criciuma,35,42.0000,1.2000,0
2013,cruzeiro,35,75.0000,2.1429,0
2013,flamengo,35,45.0000,1.2857,0
2013,fluminense,35,42.0000,1.2000,1
2013,goias,35,59.0000,1.6857,0
2013,gremio,35,60.0000,1.7143,0
2013,internacional,35,45.0000,1.2857,0
2013,nautico,35,17.0000,0.4857,1
2013,ponte-preta,35,35.0000,1.0000,1
2013,portuguesa,35,44.0000,1.2571,0
2013,santos,35,48.0000,1.3714,0
2013,sao-paulo,35,49.0000,1.4000,0
2013,vasco,35,38.0000,1.0857,1
2013,vitoria,35,54.0000,1.5429,0
2014,athletico-pr,10,16.0000,1.6000,0
2014,atletico-mg,10,15.0000,1.5000,0
2014,bahia,10,8.0000,0.8000,1
2014,botafogo-rj,10,11.0000,1.1000,1
2014,chapecoense,10,9.0000,0.9000,0
2014,corinthians,10,18.0000,1.8000,0
2014,coritiba,10,7.0000,0.7000,0
2014,criciuma,10,14.0000,1.4000,1
2014,cruzeiro,10,22.0000,2.2000,0
2014,figueirense,10,7.0000,0.7000,0
2014,flamengo,10,7.0000,0.7000,0
2014,fluminense,10,16.0000,1.6000,0
2014,goias,10,16.0000,1.6000,0
2014,gremio,10,16.0000,1.6000,0
2014,internacional,10,16.0000,1.6000,0
2014,palmeiras,10,13.0000,1.3000,0
2014,santos,10,17.0000,1.7000,0
2014,sao-paulo,10,19.0000,1.9000,0
2014,sport,10,17.0000,1.7000,0
2014,vitoria,10,7.0000,0.7000,1
2014,athletico-pr,15,23.0000,1.5333,0
2014,atletico-mg,15,23.0000,1.5333,0
2014,bahia,15,14.0000,0.9333,1
2014,botafogo-rj,15,18.0000,1.2000,1
2014,chapecoense,15,16.0000,1.0667,0
2014,corinthians,15,27.0000,1.8000,0
2014,coritiba,15,12.0000,0.8000,0
2014,criciuma,15,16.0000,1.0667,1
2014,cruzeiro,15,33.0000,2.2000,0
2014,figueirense,15,14.0000,0.9333,0
2014,flamengo,15,16.0000,1.0667,0
2014,fluminense,15,26.0000,1.7333,0
2014,goias,15,20.0000,1.3333,0
2014,gremio,15,22.0000,1.4667,0
2014,internacional,15,31.0000,2.0667,0
2014,palmeiras,15,14.0000,0.9333,0
2014,santos,15,20.0000,1.3333,0
2014,sao-paulo,15,26.0000,1.7333,0
2014,sport,15,22.0000,1.4667,0
2014,vitoria,15,15.0000,1.0000,1
2014,athletico-pr,20,25.0000,1.2500,0
2014,atletico-mg,20,30.0000,1.5000,0
2014,bahia,20,17.0000,0.8500,1
2014,botafogo-rj,20,24.0000,1.2000,1
2014,chapecoense,20,20.0000,1.0000,0
2014,corinthians,20,35.0000,1.7500,0
2014,coritiba,20,20.0000,1.0000,0
2014,criciuma,20,18.0000,0.9000,1
2014,cruzeiro,20,46.0000,2.3000,0
2014,figueirense,20,25.0000,1.2500,0
2014,flamengo,20,25.0000,1.2500,0
2014,fluminense,20,32.0000,1.6000,0
2014,goias,20,27.0000,1.3500,0
2014,gremio,20,34.0000,1.7000,0
2014,internacional,20,34.0000,1.7000,0
2014,palmeiras,20,21.0000,1.0500,0
2014,santos,20,26.0000,1.3000,0
2014,sao-paulo,20,39.0000,1.9500,0
2014,sport,20,31.0000,1.5500,0
2014,vitoria,20,18.0000,0.9000,1
2014,athletico-pr,25,31.0000,1.2400,0
2014,atletico-mg,25,43.0000,1.7200,0
2014,bahia,25,29.0000,1.1600,1
2014,botafogo-rj,25,28.0000,1.1200,1
2014,chapecoense,25,28.0000,1.1200,0
2014,corinthians,25,39.0000,1.5600,0
2014,coritiba,25,23.0000,0.9200,0
2014,criciuma,25,24.0000,0.9600,1
2014,cruzeiro,25,53.0000,2.1200,0
2014,figueirense,25,32.0000,1.2800,0
2014,flamengo,25,31.0000,1.2400,0
2014,fluminense,25,40.0000,1.6000,0
2014,goias,25,30.0000,1.2000,0
2014,gremio,25,43.0000,1.7200,0
2014,internacional,25,47.0000,1.8800,0
2014,palmeiras,25,25.0000,1.0000,0
2014,santos,25,36.0000,1.4400,0
2014,sao-paulo,25,43.0000,1.7200,0
2014,sport,25,36.0000,1.4400,0
2014,vitoria,25,24.0000,0.9600,1
2014,athletico-pr,30,40.0000,1.3333,0
2014,atletico-mg,30,51.0000,1.7000,0
2014,bahia,30,31.0000,1.0333,1
2014,botafogo-rj,30,30.0000,1.0000,1
2014,chapecoense,30,35.0000,1.1667,0
2014,corinthians,30,52.0000,1.7333,0
2014,coritiba,30,32.0000,1.0667,0
2014,criciuma,30,30.0000,1.0000,1
2014,cruzeiro,30,60.0000,2.0000,0
2014,figueirense,30,35.0000,1.1667,0
2014,flamengo,30,40.0000,1.3333,0
2014,fluminense,30,48.0000,1.6000,0
2014,goias,30,41.0000,1.3667,0
2014,gremio,30,50.0000,1.6667,0
2014,internacional,30,50.0000,1.6667,0
2014,palmeiras,30,35.0000,1.1667,0
2014,santos,30,45.0000,1.5000,0
2014,sao-paulo,30,53.0000,1.7667,0
2014,sport,30,37.0000,1.2333,0
2014,vitoria,30,31.0000,1.0333,1
2014,athletico-pr,35,47.0000,1.3429,0
2014,atletico-mg,35,61.0000,1.7429,0
2014,bahia,35,34.0000,0.9714,1
2014,botafogo-rj,35,33.0000,0.9429,1
2014,chapecoense,35,39.0000,1.1143,0
2014,corinthians,35,63.0000,1.8000,0
2014,coritiba,35,38.0000,1.0857,0
2014,criciuma,35,30.0000,0.8571,1
2014,cruzeiro,35,73.0000,2.0857,0
2014,figueirense,35,43.0000,1.2286,0
2014,flamengo,35,47.0000,1.3429,0
2014,fluminense,35,57.0000,1.6286,0
2014,goias,35,44.0000,1.2571,0
2014,gremio,35,60.0000,1.7143,0
2014,internacional,35,60.0000,1.7143,0
2014,palmeiras,35,39.0000,1.1143,0
2014,santos,35,47.0000,1.3429,0
2014,sao-paulo,35,66.0000,1.8857,0
2014,sport,35,47.0000,1.3429,0
2014,vitoria,35,38.0000,1.0857,1
2015,athletico-pr,10,19.0000,1.9000,0
2015,atletico-mg,10,20.0000,2.0000,0
2015,avai,10,12.0000,1.2000,1
2015,chapecoense,10,13.0000,1.3000,0
2015,corinthians,10,19.0000,1.9000,0
2015,coritiba,10,7.0000,0.7000,0
2015,cruzeiro,10,10.0000,1.0000,0
2015,figueirense,10,12.0000,1.2000,0
2015,flamengo,10,10.0000,1.0000,0
2015,fluminense,10,20.0000,2.0000,0
2015,goias,10,9.0000,0.9000,1
2015,gremio,10,20.0000,2.0000,0
2015,internacional,10,13.0000,1.3000,0
2015,joinville,10,4.0000,0.4000,1
2015,palmeiras,10,15.0000,1.5000,0
2015,ponte-preta,10,16.0000,1.6000,0
2015,santos,10,10.0000,1.0000,0
2015,sao-paulo,10,17.0000,1.7000,0
2015,sport,10,22.0000,2.2000,0
2015,vasco,10,9.0000,0.9000,1
2015,athletico-pr,15,25.0000,1.6667,0
