clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
nautico,2012,19,19,42,7,2.2105,0.3684,1.8421,0.8571,0.6842,0.1579,0.1579,0.9474,1.6316,0.6842
nautico,2013,19,19,12,8,0.6316,0.4211,0.2105,0.6000,0.1579,0.1579,0.6842,-1.1053,0.7368,1.8421
palmeiras,2004,23,23,41,38,1.7826,1.6522,0.1304,0.5190,0.5217,0.2174,0.2609,0.4783,1.6957,1.2174
palmeiras,2005,21,21,46,24,2.1905,1.1429,1.0476,0.6571,0.6667,0.1905,0.1429,0.8095,2.1905,1.3810
palmeiras,2006,19,19,34,10,1.7895,0.5263,1.2632,0.7727,0.5263,0.2105,0.2632,0.5789,2.0000,1.4211
palmeiras,2007,19,19,33,25,1.7368,1.3158,0.4211,0.5690,0.5263,0.1579,0.3158,0.3158,1.4211,1.1053
palmeiras,2008,19,19,44,21,2.3158,1.1053,1.2105,0.6769,0.7368,0.1053,0.1579,1.0526,1.9474,0.8947
palmeiras,2009,19,19,40,22,2.1053,1.1579,0.9474,0.6452,0.5789,0.3684,0.0526,0.8421,1.8421,1.0000
palmeiras,2010,19,19,29,21,1.5263,1.1053,0.4211,0.5800,0.4211,0.2632,0.3158,0.1579,1.3684,1.2105
palmeiras,2011,19,19,33,17,1.7368,0.8947,0.8421,0.6600,0.4737,0.3158,0.2105,0.4737,1.3158,0.8421
palmeiras,2012,19,19,23,11,1.2105,0.5789,0.6316,0.6765,0.3158,0.2632,0.4211,0.1579,1.2632,1.1053
palmeiras,2014,19,19,25,15,1.3158,0.7895,0.5263,0.6250,0.3684,0.2105,0.4211,-0.1053,1.1053,1.2105
palmeiras,2015,19,19,31,22,1.6316,1.1579,0.4737,0.5849,0.4737,0.2105,0.3158,0.4211,1.6316,1.2105
palmeiras,2016,19,19,46,34,2.4211,1.7895,0.6316,0.5750,0.7368,0.2105,0.0526,1.1579,1.8421,0.6842
palmeiras,2017,19,19,39,24,2.0526,1.2632,0.7895,0.6190,0.6316,0.1579,0.2105,1.0000,1.8421,0.8421
palmeiras,2018,19,19,50,30,2.6316,1.5789,1.0526,0.6250,0.8421,0.1053,0.0526,1.5263,2.2105,0.6842
palmeiras,2019,19,19,43,31,2.2632,1.6316,0.6316,0.5811,0.6842,0.2105,0.1053,1.4211,2.1053,0.6842
palmeiras,2020,19,19,35,23,1.8421,1.2105,0.6316,0.6034,0.4737,0.4211,0.1053,0.8947,1.7368,0.8421
palmeiras,2021,19,19,36,30,1.8947,1.5789,0.3158,0.5455,0.5789,0.1579,0.2632,0.3684,1.7368,1.3684
palmeiras,2022,19,19,43,38,2.2632,2.0000,0.2632,0.5309,0.6842,0.2105,0.1053,1.4211,2.0526,0.6316
palmeiras,2023,19,19,44,26,2.3158,1.3684,0.9474,0.6286,0.7368,0.1053,0.1579,1.2105,1.8421,0.6316
palmeiras,2024,19,19,38,35,2.0000,1.8421,0.1579,0.5205,0.6316,0.1053,0.2632,0.9474,1.7895,0.8421
parana,2003,23,23,45,20,1.9565,0.8696,1.0870,0.6923,0.5652,0.2609,0.1739,1.0870,2.3913,1.3043
parana,2004,23,23,38,16,1.6522,0.6957,0.9565,0.7037,0.5217,0.0870,0.3913,0.1739,1.2174,1.0435
parana,2005,21,21,37,24,1.7619,1.1429,0.6190,0.6066,0.5238,0.1905,0.2857,0.6667,1.8571,1.1905
parana,2006,19,19,40,20,2.1053,1.0526,1.0526,0.6667,0.6316,0.2105,0.1579,0.7368,1.4211,0.6842
parana,2007,19,19,28,13,1.4737,0.6842,0.7895,0.6829,0.4211,0.2105,0.3684,0.1579,1.2632,1.1053
parana,2018,19,19,19,4,1.0000,0.2105,0.7895,0.8261,0.1579,0.5263,0.3158,-0.5263,0.6842,1.2105
paysandu,2003,23,23,46,11,2.0000,0.4783,1.5217,0.8070,0.5652,0.3043,0.1304,1.1739,2.3043,1.1304
paysandu,2004,23,23,43,13,1.8696,0.5652,1.3043,0.7679,0.5217,0.3043,0.1739,0.5652,1.8261,1.2609
paysandu,2005,21,21,32,9,1.5238,0.4286,1.0952,0.7805,0.4762,0.0952,0.4286,0.0952,1.7619,1.6667
