clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
america-mg,2011,19,19,28,9,1.4737,0.4737,1.0000,0.7568,0.3684,0.3684,0.2632,0.3158,1.7368,1.4211
america-mg,2016,19,19,24,4,1.2632,0.2105,1.0526,0.8571,0.3684,0.1579,0.4737,-0.3684,0.6842,1.0526
america-mg,2018,19,19,31,9,1.6316,0.4737,1.1579,0.7750,0.4211,0.3684,0.2105,0.2632,1.1579,0.8947
america-mg,2021,19,19,33,20,1.7368,1.0526,0.6842,0.6226,0.4737,0.3158,0.2105,0.5789,1.1579,0.5789
america-mg,2022,19,19,31,22,1.6316,1.1579,0.4737,0.5849,0.4737,0.2105,0.3158,0.2105,1.1579,0.9474
america-mg,2023,19,19,17,7,0.8947,0.3684,0.5263,0.7083,0.2632,0.1053,0.6316,-0.8947,1.1053,2.0000
america-rn,2007,19,19,9,8,0.4737,0.4211,0.0526,0.5294,0.1053,0.1579,0.7368,-1.2105,0.6316,1.8421
athletico-pr,2003,23,23,46,15,2.0000,0.6522,1.3478,0.7541,0.6087,0.1739,0.2174,0.7391,1.9565,1.2174
athletico-pr,2004,23,23,53,33,2.3043,1.4348,0.8696,0.6163,0.6957,0.2174,0.0870,1.6522,2.4348,0.7826
athletico-pr,2005,21,21,44,17,2.0952,0.8095,1.2857,0.7213,0.6190,0.2381,0.1429,1.0952,2.3333,1.2381
athletico-pr,2006,19,19,30,18,1.5789,0.9474,0.6316,0.6250,0.4737,0.1579,0.3684,0.2105,1.7368,1.5263
athletico-pr,2007,19,19,39,15,2.0526,0.7895,1.2632,0.7222,0.5789,0.3158,0.1053,0.7368,1.5263,0.7895
athletico-pr,2008,19,19,36,9,1.8947,0.4737,1.4211,0.8000,0.5263,0.3158,0.1579,0.8421,1.7368,0.8947
athletico-pr,2009,19,19,33,15,1.7368,0.7895,0.9474,0.6875,0.4737,0.3158,0.2105,0.3158,1.2632,0.9474
athletico-pr,2010,19,19,42,18,2.2105,0.9474,1.2632,0.7000,0.6316,0.3158,0.0526,0.5789,1.4211,0.8421
athletico-pr,2011,19,19,32,9,1.6842,0.4737,1.2105,0.7805,0.4211,0.4211,0.1579,0.2632,1.2105,0.9474
athletico-pr,2013,19,19,44,20,2.3158,1.0526,1.2632,0.6875,0.6842,0.2632,0.0526,1.1579,2.0526,0.8947
athletico-pr,2014,19,19,35,19,1.8421,1.0000,0.8421,0.6481,0.5263,0.2632,0.2105,0.5263,1.2632,0.7368
athletico-pr,2015,19,19,33,18,1.7368,0.9474,0.7895,0.6471,0.4737,0.3158,0.2105,0.5263,1.5789,1.0526
athletico-pr,2016,19,19,48,9,2.5263,0.4737,2.0526,0.8421,0.7895,0.1579,0.0526,1.1053,1.4211,0.3158
athletico-pr,2017,19,19,29,22,1.5263,1.1579,0.3684,0.5686,0.4211,0.2632,0.3158,0.4737,1.5263,1.0526
athletico-pr,2018,19,19,44,13,2.3158,0.6842,1.6316,0.7719,0.7368,0.1053,0.1579,1.5789,2.3158,0.7368
athletico-pr,2019,19,19,39,25,2.0526,1.3158,0.7368,0.6094,0.6316,0.1579,0.2105,0.7895,1.3684,0.5789
athletico-pr,2020,19,19,32,21,1.6842,1.1053,0.5789,0.6038,0.4737,0.2632,0.2632,0.3684,1.0526,0.6842
athletico-pr,2021,19,19,29,18,1.5263,0.9474,0.5789,0.6170,0.4211,0.2632,0.3158,0.1053,1.2105,1.1053
athletico-pr,2022,19,19,39,19,2.0526,1.0000,1.0526,0.6724,0.5789,0.3158,0.1053,0.7368,1.6316,0.8947
athletico-pr,2023,19,19,38,18,2.0000,0.9474,1.0526,0.6786,0.5263,0.4211,0.0526,0.7368,1.7368,1.0000
athletico-pr,2024,19,19,25,17,1.3158,0.8947,0.4211,0.5952,0.3684,0.2105,0.4211,0.1579,1.2632,1.1053
atletico-go,2010,19,19,27,15,1.4211,0.7895,0.6316,0.6429,0.3684,0.3158,0.3158,0.3684,1.6316,1.2632
atletico-go,2011,19,19,30,18,1.5789,0.9474,0.6316,0.6250,0.4737,0.1579,0.3684,0.5789,1.3158,0.7368
atletico-go,2012,19,19,18,12,0.9474,0.6316,0.3158,0.6000,0.2632,0.1579,0.5789,-0.4737,1.1053,1.5789
atletico-go,2017,19,19,17,19,0.8947,1.0000,-0.1053,0.4722,0.2105,0.2632,0.5263,-0.2632,0.9474,1.2105
atletico-go,2020,19,19,27,23,1.4211,1.2105,0.2105,0.5400,0.3158,0.4737,0.2105,0.1579,1.2632,1.1053
atletico-go,2021,19,19,28,25,1.4737,1.3158,0.1579,0.5283,0.3158,0.5263,0.1579,0.1579,0.8947,0.7368
atletico-go,2022,19,19,23,13,1.2105,0.6842,0.5263,0.6389,0.3158,0.2632,0.4211,-0.0526,1.1579,1.2105
atletico-go,2024,19,19,20,10,1.0526,0.5263,0.5263,0.6667,0.2632,0.2632,0.4737,-0.4211,0.8421,1.2632
atletico-mg,2003,23,23,44,28,1.9130,1.2174,0.6957,0.6111,0.5652,0.2174,0.2174,0.5652,1.7391,1.1739
atletico-mg,2004,23,23,36,17,1.5652,0.7391,0.8261,0.6792,0.3913,0.3913,0.2174,0.4783,1.8261,1.3478
atletico-mg,2005,21,21,22,25,1.0476,1.1905,-0.1429,0.4681,0.2857,0.1905,0.5238,-0.0952,1.2381,1.3333
atletico-mg,2007,19,19,32,23,1.6842,1.2105,0.4737,0.5818,0.4737,0.2632,0.2632,0.8947,2.1053,1.2105
atletico-mg,2008,19,19,35,13,1.8421,0.6842,1.1579,0.7292,0.4737,0.4211,0.1053,0.5263,1.6316,1.1053
atletico-mg,2009,19,19,32,24,1.6842,1.2632,0.4211,0.5714,0.4737,0.2632,0.2632,0.2632,1.3684,1.1053
atletico-mg,2010,19,19,28,17,1.4737,0.8947,0.5789,0.6222,0.4737,0.0526,0.4737,0.2105,1.7368,1.5263
atletico-mg,2011,19,19,33,12,1.7368,0.6316,1.1053,0.7333,0.5263,0.1579,0.3158,0.5263,1.6316,1.1053
atletico-mg,2012,19,19,47,25,2.4737,1.3158,1.1579,0.6528,0.7368,0.2632,0.0000,1.4211,2.2105,0.7895
atletico-mg,2013,19,19,44,13,2.3158,0.6842,1.6316,0.7719,0.6842,0.2632,0.0526,1.3684,2.1579,0.7895
atletico-mg,2014,19,19,41,21,2.1579,1.1053,1.0526,0.6613,0.6316,0.2632,0.1053,0.8421,1.4737,0.6316
atletico-mg,2015,19,19,41,28,2.1579,1.4737,0.6842,0.5942,0.6842,0.1053,0.2105,0.8421,1.8947,1.0526
atletico-mg,2016,19,18,42,20,2.2105,1.1111,1.0994,0.6774,0.6842,0.1579,0.1579,1.0000,2.0526,1.0526
atletico-mg,2017,19,19,25,29,1.3158,1.5263,-0.2105,0.4630,0.3684,0.2105,0.4211,0.0000,1.4211,1.4211
atletico-mg,2018,19,19,40,19,2.1053,1.0000,1.1053,0.6780,0.6316,0.2105,0.1579,0.8421,1.6316,0.7895
atletico-mg,2019,19,19,32,16,1.6842,0.8421,0.8421,0.6667,0.5263,0.1053,0.3684,0.2632,1.4737,1.2105
atletico-mg,2020,19,19,46,22,2.4211,1.1579,1.2632,0.6765,0.7368,0.2105,0.0526,1.4737,2.1579,0.6842
atletico-mg,2021,19,19,52,32,2.7368,1.6842,1.0526,0.6190,0.8947,0.0526,0.0526,1.5263,2.2105,0.6842
atletico-mg,2022,19,19,29,29,1.5263,1.5263,0.0000,0.5000,0.4211,0.2632,0.3158,0.3684,1.3158,0.9474
atletico-mg,2023,19,19,36,30,1.8947,1.5789,0.3158,0.5455,0.5789,0.1579,0.2632,0.6316,1.4737,0.8421
atletico-mg,2024,19,19,28,19,1.4737,1.0000,0.4737,0.5957,0.3684,0.3684,0.2632,0.0526,1.4211,1.3684
avai,2009,19,19,36,21,1.8947,1.1053,0.7895,0.6316,0.5263,0.3158,0.1579,0.7368,1.8947,1.1579
avai,2010,19,19,32,11,1.6842,0.5789,1.1053,0.7442,0.4737,0.2632,0.2632,0.7368,1.7895,1.0526
avai,2011,19,19,19,12,1.0000,0.6316,0.3684,0.6129,0.2105,0.3684,0.4211,-0.2632,1.3684,1.6316
