clube,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj,fator_gols_mando,p_valor
vasco,333,333,543,319,1.6306,0.9580,0.6727,0.6299,0.4474,0.2883,0.2643,0.2973,1.4715,1.1742,1.5016,0.0000
fluminense,428,428,755,470,1.7640,1.0981,0.6659,0.6163,0.4953,0.2780,0.2266,0.4977,1.5117,1.0140,1.3436,0.0000
palmeiras,386,386,753,497,1.9508,1.2876,0.6632,0.6024,0.5803,0.2098,0.2098,0.7539,1.7487,0.9948,1.4396,0.0000
cruzeiro,371,371,686,443,1.8491,1.1941,0.6550,0.6076,0.5337,0.2480,0.2183,0.6577,1.7062,1.0485,1.4675,0.0000
flamengo,428,428,815,538,1.9042,1.2570,0.6472,0.6024,0.5491,0.2570,0.1939,0.7150,1.6589,0.9439,1.3822,0.0000
avai,133,133,177,94,1.3308,0.7068,0.6241,0.6531,0.3308,0.3383,0.3308,0.0150,1.2857,1.2707,1.6082,0.0002
botafogo-rj,367,367,619,391,1.6866,1.0654,0.6213,0.6129,0.4741,0.2643,0.2616,0.4659,1.5341,1.0681,1.5157,0.0000
chapecoense,132,133,181,106,1.3712,0.7970,0.5742,0.6307,0.3636,0.2803,0.3561,0.0530,1.1288,1.0758,1.2919,0.0441
atletico-go,152,152,190,135,1.2500,0.8882,0.3618,0.5846,0.3158,0.3026,0.3816,0.0066,1.1447,1.1382,1.2000,0.1111
cuiaba,76,76,91,78,1.1974,1.0263,0.1711,0.5385,0.2895,0.3289,0.3816,-0.0789,0.9737,1.0526,,
