clube,estadio_id,temporada_ini,temporada_fim,n_temporadas,n_jogos_casa,ppg_casa,ppg_fora_mesmas_temps,vantagem_ppg,pct_vitoria_casa,saldo_casa_pj,vantagem_vs_media_clube
bragantino,nabizao,2020,2024,5,95,1.7158,1.0105,0.7053,0.4632,0.5368,0.0000
brasiliense,arena_do_jacare,2005,2005,1,17,1.1765,0.8095,0.3669,0.2941,-0.1765,0.0000
ceara,arena_castelao,2010,2022,6,109,1.5596,0.7982,0.7614,0.3945,0.2385,0.0386
ceara,presidente_vargas,2011,2011,1,19,1.3684,0.6842,0.6842,0.3684,0.3158,-0.0386
chapecoense,arena_conda,2014,2021,7,132,1.3712,0.7970,0.5742,0.3636,0.0530,0.0000
corinthians,pacaembu,2003,2013,10,169,1.9467,1.2050,0.7417,0.5740,0.6627,-0.0354
corinthians,arena_corinthians,2014,2024,11,203,1.9704,1.1579,0.8125,0.5468,0.7044,0.0354
coritiba,couto_pereira,2003,2023,15,290,1.6759,0.7627,0.9132,0.4759,0.4241,0.0000
criciuma,heriberto_hulse,2003,2024,5,102,1.5784,0.6311,0.9474,0.4412,0.1863,0.0000
cruzeiro,mineirao,2003,2024,16,287,1.8955,1.2038,0.6916,0.5505,0.7213,0.0467
cruzeiro,arena_do_jacare,2010,2011,2,25,1.8800,1.1842,0.6958,0.5200,0.6800,0.0509
cruzeiro,independencia,2012,2012,1,15,1.6000,1.0526,0.5474,0.4667,0.0667,-0.0976
csa,rei_pele,2019,2019,1,18,1.2778,0.4737,0.8041,0.3333,-0.2778,0.0000
cuiaba,arena_pantanal,2021,2024,4,76,1.1974,1.0263,0.1711,0.2895,-0.0789,0.0000
figueirense,orlando_scarpelli,2003,2016,11,216,1.6250,0.8950,0.7300,0.4352,0.3611,0.0000
flamengo,maracana,2003,2024,16,267,2.0449,1.3084,0.7365,0.6105,0.8352,-0.0452
flamengo,raulino_de_oliveira,2004,2004,1,17,1.8235,0.7391,1.0844,0.5294,0.8824,0.3027
flamengo,luso_brasileiro,2005,2017,2,31,1.8065,1.0750,0.7315,0.5161,0.6129,-0.0502
flamengo,engenhao,2011,2012,2,29,1.7586,1.1842,0.5744,0.4483,0.3793,-0.2073
fluminense,maracana,2003,2024,17,284,1.7077,0.9758,0.7319,0.4683,0.4472,0.3642
fluminense,raulino_de_oliveira,2005,2005,1,19,1.6316,1.4762,0.1554,0.4737,0.3684,-0.2123
fluminense,engenhao,2010,2012,3,40,1.9000,1.6842,0.2158,0.5750,0.7250,-0.1519
fortaleza,arena_castelao,2003,2024,9,158,1.7405,0.9266,0.8140,0.4937,0.4304,0.0000
goias,serra_dourada,2003,2019,12,232,1.7888,0.9286,0.8602,0.5129,0.6509,0.2459
goias,serrinha,2020,2023,3,57,1.2456,0.8772,0.3684,0.2982,-0.2982,-0.2459
gremio,olimpico_poa,2003,2012,9,172,1.9767,0.9497,1.0270,0.5756,0.8895,0.0825
gremio,arena_gremio,2013,2024,11,193,2.0104,1.1483,0.8620,0.6010,0.7565,-0.0825
gremio-prudente,prudentao,2010,2010,1,19,1.0526,0.5789,0.4737,0.2632,0.0000,0.0000
guarani,brinco_de_ouro,2003,2010,3,65,1.7231,0.5385,1.1846,0.4615,0.4000,0.0000
internacional,beira_rio,2003,2024,20,385,2.0338,1.1436,0.8902,0.6000,0.8026,0.0000
ipatinga,ipatingao,2008,2008,1,19,1.5789,0.2632,1.3158,0.4737,0.1579,0.0000
joinville,arena_joinville,2015,2015,1,19,1.3158,0.3158,1.0000,0.3158,0.1053,0.0000
juventude,alfredo_jaconi,2003,2024,8,158,1.6203,0.7099,0.9104,0.4241,0.3228,0.0000
nautico,aflitos,2007,2012,4,73,1.7260,0.6184,1.1076,0.5068,0.5205,0.4408
nautico,arena_pernambuco,2013,2013,1,17,0.6471,0.4211,0.2260,0.1765,-1.0588,-0.4408
palmeiras,palestra_italia,2004,2009,6,109,1.9908,1.1667,0.8242,0.5963,0.6881,0.2248
palmeiras,pacaembu,2010,2014,3,33,1.2424,0.8246,0.4179,0.3333,0.0000,-0.1815
palmeiras,allianz_parque,2015,2024,10,163,2.0982,1.5421,0.5561,0.6319,1.0000,-0.0433
parana,pinheirao,2003,2006,4,65,1.9692,0.9302,1.0390,0.6000,0.8000,0.1216
parana,vila_capanema,2007,2018,2,37,1.2432,0.4474,0.7959,0.2973,-0.1892,-0.1216
paysandu,mangueirao,2003,2005,3,65,1.7692,0.4925,1.2767,0.5077,0.6000,0.0000
ponte-preta,moises_lucarelli,2003,2017,9,179,1.5978,0.7956,0.8022,0.4581,0.1844,0.0000
portuguesa,caninde,2008,2013,3,53,1.6981,0.6316,1.0665,0.4340,0.6226,0.0000
santa-cruz,arruda,2006,2016,2,36,1.2222,0.3684,0.8538,0.3611,-0.1667,0.0000
santo-andre,bruno_jose_daniel,2009,2009,1,16,1.6875,0.6316,1.0559,0.5000,0.3125,0.0000
santos,vila_belmiro,2003,2023,21,355,1.9380,1.0782,0.8598,0.5606,0.8085,0.0000
sao-caetano,anacleto_campanella,2003,2006,4,85,1.7412,1.0116,0.7295,0.5059,0.5176,0.0000
sao-paulo,morumbi,2003,2024,22,403,1.9901,1.2407,0.7494,0.5757,0.8040,0.0000
sport,adelmar_costa_carvalho,2007,2021,11,181,1.6409,0.7225,0.9184,0.4586,0.3260,0.0000
vasco,sao_januario,2003,2024,16,255,1.7373,0.9522,0.7850,0.4941,0.4392,0.0000
vitoria,barradao,2003,2024,11,202,1.5941,0.8018,0.7922,0.4455,0.3317,0.0000
